1000 200000
77 741 775
339 777 651
106 394 812
274 791 70
442 721 400
294 220 317
230 944 588
687 738 667
34 128 656
529 562 431
859 483 238
997 649 813
49 985 991
352 413 906
865 28 644
446 872 139
378 664 344
207 719 308
674 556 55
733 637 645
330 12 691
440 621 751
98 307 863
728 343 204
844 835 755
487 336 11
898 275 873
893 805 694
265 328 505
898 856 834
113 996 500
211 258 100
77 362 855
366 592 841
20 399 746
512 364 231
661 604 53
740 97 208
576 83 605
656 170 926
508 713 717
849 392 979
414 981 344
196 407 242
204 758 876
823 821 689
224 795 702
687 37 603
950 843 302
850 67 394
831 732 366
535 34 99
668 258 49
702 784 128
216 231 914
10 744 778
619 967 804
119 750 514
39 785 24
284 802 204
214 497 361
513 402 733
259 411 903
814 517 96
88 657 983
106 661 909
876 923 597
97 813 515
362 601 876
724 193 499
738 186 119
404 401 381
629 846 370
207 109 206
632 447 146
914 497 171
417 257 457
127 867 471
495 362 65
16 830 309
751 562 13
899 897 808
446 204 951
118 426 48
99 254 600
246 663 678
618 101 359
179 136 711
893 124 947
633 431 319
106 645 882
951 150 813
321 739 760
521 163 901
254 328 888
27 634 439
460 366 987
397 171 60
417 212 26
491 274 368
689 403 305
515 53 553
443 701 974
168 929 93
637 960 536
499 769 388
26 187 19
567 789 627
799 775 337
380 436 423
196 211 647
871 493 686
452 132 963
231 644 935
302 668 639
689 962 155
993 765 841
865 870 515
55 498 166
288 261 416
945 873 670
397 548 123
659 144 784
620 169 834
617 68 623
665 554 667
66 650 89
530 1 296
497 850 825
240 162 520
545 737 265
735 741 463
901 587 724
88 717 594
987 315 451
916 336 726
116 343 391
237 788 620
887 291 669
548 453 451
711 954 709
545 757 84
954 476 537
166 958 40
193 70 140
87 37 475
949 802 99
469 87 532
813 103 580
831 136 334
711 90 204
439 112 246
383 994 459
726 106 473
108 813 106
332 486 445
255 218 262
310 591 497
490 715 785
436 6 493
83 618 25
689 404 730
356 891 59
225 371 600
901 324 424
943 361 396
717 184 213
8 152 770
343 308 934
174 206 979
608 271 582
699 560 303
382 828 547
699 307 711
447 623 555
780 211 104
364 161 339
446 835 44
601 496 918
483 932 710
937 871 403
770 698 971
185 743 367
225 464 70
111 565 629
586 196 839
129 703 429
587 178 668
652 439 425
846 4 458
531 8 574
732 508 836
756 330 999
512 80 753
365 998 379
166 922 638
951 531 291
684 237 496
571 884 191
888 865 193
358 777 9
409 667 337
410 211 936
535 404 700
133 269 870
280 452 695
126 92 909
624 79 140
730 695 354
138 730 677
432 324 647
145 452 267
208 984 202
744 160 983
811 960 349
33 334 258
729 568 590
503 138 855
937 81 3
477 460 73
538 490 352
131 680 490
120 826 276
461 775 108
136 197 709
478 272 837
194 808 479
977 371 51
620 659 931
738 665 65
282 232 727
800 93 657
195 857 909
233 273 981
942 161 220
380 626 590
675 379 115
634 583 865
16 636 295
737 940 817
470 984 147
570 688 965
876 53 128
164 735 836
603 59 999
249 596 418
544 63 208
110 647 624
886 691 681
192 4 410
161 418 614
346 686 102
789 403 558
902 276 360
391 132 198
926 342 546
138 534 79
351 862 439
658 37 121
950 299 252
419 146 849
248 12 768
808 507 508
191 131 107
60 122 41
478 714 419
1 572 982
589 335 546
439 208 229
875 886 387
819 719 306
7 991 290
114 510 492
341 548 750
565 567 729
627 312 371
512 62 812
873 655 424
915 358 92
843 72 820
409 635 209
594 897 671
908 979 901
85 59 985
787 135 649
553 914 999
218 478 615
330 726 782
530 876 445
103 127 696
321 818 815
961 473 68
574 415 281
609 218 700
76 698 186
957 425 906
587 274 319
541 683 909
99 647 911
525 670 974
854 185 384
602 933 927
728 977 799
107 457 964
293 16 693
140 482 201
667 188 884
696 298 479
448 323 796
993 498 867
452 574 664
93 944 397
974 6 214
21 50 915
49 158 55
669 722 848
722 919 888
53 409 496
184 87 422
922 957 443
448 921 543
907 32 499
110 686 853
618 641 377
945 789 897
748 87 768
731 754 872
878 382 590
665 564 432
344 80 611
513 87 434
86 266 40
410 236 371
520 439 92
467 482 370
557 303 249
835 598 259
105 246 748
613 546 808
367 180 852
585 937 434
131 69 991
948 411 353
654 83 260
973 884 418
848 768 286
284 767 568
150 87 425
179 972 918
670 923 771
334 386 902
980 375 626
395 745 191
589 830 681
560 435 450
357 3 509
38 399 65
213 821 287
932 716 355
382 857 439
181 945 224
537 488 342
544 521 375
68 406 219
570 268 647
728 511 830
517 564 518
758 949 913
215 58 207
115 987 395
74 367 916
997 440 345
746 479 770
940 693 571
968 331 40
214 927 851
89 870 922
954 154 87
353 494 67
111 524 462
49 27 461
782 126 958
449 94 783
996 275 31
198 371 518
577 488 738
699 924 19
672 55 181
17 493 378
21 629 740
153 149 204
543 707 674
476 312 660
533 125 364
350 730 251
25 428 653
562 884 813
233 975 260
477 697 165
969 317 331
315 461 751
578 719 343
781 946 559
76 23 676
578 655 663
392 211 548
48 494 733
888 985 868
534 826 604
271 677 9
665 652 108
462 147 77
119 40 122
469 955 715
30 620 814
41 273 275
587 294 355
55 476 61
772 272 102
959 317 688
481 416 751
493 581 536
546 215 52
575 717 945
972 256 410
675 860 410
775 308 163
564 255 818
380 591 350
178 899 42
423 23 696
393 217 358
729 573 314
79 289 603
396 683 660
602 856 526
548 714 460
760 881 175
390 763 138
923 570 718
123 490 491
256 708 425
594 411 287
668 483 887
230 47 571
801 539 609
69 18 351
13 271 1
458 504 336
345 935 906
572 186 614
56 459 490
489 398 182
986 921 967
874 363 373
6 762 670
80 657 344
231 649 859
586 969 210
394 638 441
779 435 792
365 725 138
774 995 368
580 242 954
900 178 822
372 57 126
255 865 648
153 957 611
57 513 901
830 756 653
365 101 23
569 392 502
973 369 732
767 395 641
17 766 306
410 578 594
57 276 578
526 80 416
760 249 662
755 219 543
171 3 709
475 333 741
266 337 804
828 752 518
767 554 260
658 685 63
507 961 156
684 998 982
669 288 731
639 404 737
273 96 697
915 913 890
219 987 814
627 599 578
902 69 157
650 694 590
971 452 561
430 758 414
279 195 637
56 967 221
527 214 302
493 736 844
174 318 431
630 407 923
427 133 535
639 87 795
308 855 795
334 350 976
803 597 926
307 373 455
682 5 55
767 982 767
150 161 971
364 806 368
751 452 965
93 386 525
527 224 255
990 296 378
244 495 413
790 721 439
445 708 94
278 326 976
962 447 747
812 716 498
479 333 500
711 320 703
896 138 349
34 71 843
16 355 648
131 252 604
691 175 943
925 293 992
15 431 894
808 222 317
387 844 678
900 300 69
846 919 71
63 210 877
658 72 173
802 363 201
921 272 449
279 290 652
73 761 231
235 826 721
538 948 49
131 362 619
397 137 910
524 378 796
811 835 895
66 90 951
505 164 867
798 630 583
109 535 242
494 203 283
565 190 422
171 17 617
648 163 501
968 772 11
358 668 56
314 289 130
435 980 810
610 583 750
23 136 982
617 316 168
814 195 382
893 495 333
377 696 856
225 258 834
38 985 100
835 660 210
574 857 2
426 520 420
350 968 312
819 187 663
762 143 943
261 720 954
296 53 811
991 230 993
666 219 469
828 531 212
646 214 935
272 973 405
104 422 793
256 155 5
528 621 710
329 609 871
723 194 488
977 843 204
148 382 738
362 714 470
551 33 560
688 803 854
252 332 29
858 164 231
380 146 787
582 61 208
665 588 175
852 745 587
244 866 970
149 760 235
784 954 407
870 72 216
451 958 311
894 500 393
730 737 517
382 30 852
715 798 559
651 174 368
866 375 583
999 51 431
512 308 783
534 990 20
626 415 921
186 608 842
680 413 693
129 447 498
326 409 81
832 975 354
167 360 730
352 166 418
133 816 203
912 290 66
921 733 62
398 444 530
475 628 415
754 168 919
61 986 2
609 981 141
953 81 299
672 496 430
728 563 395
329 495 473
328 47 687
47 944 247
133 373 60
471 486 97
569 246 929
688 891 445
810 667 220
430 542 551
884 130 203
459 1000 941
366 41 612
563 964 791
336 872 832
387 582 468
354 171 121
948 173 217
597 922 157
338 779 708
272 38 842
173 394 966
415 889 605
600 51 902
534 975 482
420 686 334
700 659 417
139 878 113
240 403 649
707 19 93
546 547 620
400 57 229
67 174 234
435 180 38
37 75 337
741 328 383
988 876 361
208 675 744
69 614 219
938 573 23
506 282 112
914 186 831
961 461 942
783 403 221
507 457 697
327 145 388
110 949 50
547 68 233
727 365 895
811 552 999
264 548 217
475 947 361
637 304 272
353 702 224
82 284 927
362 245 960
407 438 170
492 217 688
492 703 537
266 765 913
147 494 515
197 333 365
396 244 931
790 75 83
281 631 295
94 202 894
184 937 645
487 370 684
547 205 569
686 563 394
500 949 62
144 130 452
746 470 862
180 241 587
876 33 696
492 194 628
481 239 289
685 610 95
610 511 172
246 993 569
3 134 747
323 859 536
522 510 350
898 21 584
280 90 657
839 604 830
715 508 35
234 930 363
315 945 432
457 444 340
600 565 50
564 391 355
463 81 427
118 710 321
743 267 744
10 245 758
658 337 913
521 452 88
673 623 168
234 273 955
330 384 199
972 826 514
891 543 346
16 554 124
846 398 21
745 805 658
428 305 443
448 198 100
855 842 359
205 277 842
144 80 805
569 586 375
268 602 252
832 182 338
332 712 997
11 413 272
316 473 516
864 87 454
599 564 270
438 100 485
454 523 452
446 552 761
30 477 482
726 99 649
210 973 762
692 248 41
353 185 184
468 598 831
612 77 84
325 688 992
433 78 180
939 309 195
57 459 190
932 577 5
35 463 774
951 436 271
767 485 234
54 607 955
841 515 972
384 791 266
286 983 959
753 635 686
469 615 389
193 106 604
406 212 990
836 760 971
154 467 934
900 434 464
789 761 998
860 890 872
192 346 498
821 861 573
703 987 638
317 799 942
932 665 251
466 279 684
973 19 103
171 256 189
1000 339 208
570 272 691
922 592 481
944 138 271
255 299 295
526 179 19
617 285 669
303 569 825
316 418 541
597 591 126
923 276 131
266 908 311
691 803 420
443 67 797
648 418 397
425 351 919
360 493 893
340 150 144
837 580 732
867 469 592
288 816 615
468 246 726
870 762 425
185 229 795
805 763 887
114 842 182
59 250 439
928 550 234
573 85 560
942 377 679
231 135 392
990 806 80
437 89 485
8 172 636
975 947 998
585 120 296
739 847 172
754 122 868
145 482 435
292 732 753
778 160 110
432 12 136
990 48 18
842 20 145
761 393 853
350 936 589
480 214 72
351 701 602
630 211 413
602 134 903
855 215 195
98 235 542
713 687 2
287 57 377
723 7 158
122 995 281
889 660 439
906 890 795
971 197 657
766 714 417
478 647 563
827 376 451
446 674 504
217 925 636
956 581 867
141 453 739
136 707 425
916 58 611
409 508 53
47 562 921
178 572 781
252 160 567
232 570 30
54 579 537
63 752 147
635 572 749
9 958 700
118 706 88
189 364 342
566 481 619
3 965 635
758 623 956
1000 233 953
328 669 115
871 656 366
849 40 339
547 818 225
928 265 511
456 260 248
34 108 218
327 443 979
318 401 854
18 834 914
143 774 223
832 11 262
196 924 927
288 992 775
123 736 945
758 764 643
339 925 748
745 233 390
525 269 774
593 768 444
707 930 25
5 817 423
844 491 997
640 166 859
112 980 461
867 828 225
920 623 838
178 894 524
289 752 208
262 191 299
193 11 616
654 481 964
571 621 46
57 351 72
379 501 889
847 661 803
70 204 983
337 400 643
113 284 378
248 592 789
345 81 816
282 44 284
289 942 101
771 91 524
136 254 33
816 337 799
962 152 345
409 167 6
255 432 634
328 128 801
289 408 824
407 183 852
454 58 284
265 185 473
325 888 826
977 378 518
454 3 692
39 621 626
679 250 612
751 207 437
725 217 195
176 226 911
806 474 181
575 552 959
553 900 327
320 793 291
170 177 13
765 641 236
409 268 38
809 262 95
712 596 886
654 866 173
232 148 39
517 327 152
645 189 879
927 922 746
880 462 843
31 300 787
835 369 512
382 727 121
554 125 570
185 603 452
80 215 901
442 140 508
468 324 836
940 375 27
985 693 180
319 840 609
671 347 51
972 939 263
847 503 70
281 734 426
447 314 20
397 608 635
675 933 869
816 663 968
787 816 826
82 713 179
288 524 409
283 523 643
734 8 621
430 181 726
114 133 404
624 867 189
566 884 75
846 396 924
821 539 980
123 842 624
388 804 173
783 221 66
952 89 976
543 925 999
758 581 525
269 915 827
272 975 158
369 415 739
238 900 708
724 965 707
853 440 177
538 463 811
195 843 325
944 547 161
230 43 257
421 826 856
460 222 180
648 213 915
799 909 234
747 306 499
213 10 493
359 370 995
618 38 580
128 872 358
378 441 518
899 289 324
886 267 797
204 909 272
620 799 826
992 998 737
377 44 428
626 520 974
748 440 516
46 122 157
668 886 998
722 756 792
171 865 344
541 283 661
927 55 220
571 190 994
591 903 560
920 283 327
627 578 341
587 492 726
24 706 343
711 382 980
961 13 230
692 614 370
380 444 259
477 220 943
964 333 549
562 717 582
416 42 11
589 703 453
769 414 871
467 235 785
399 795 741
305 430 46
933 533 488
821 895 358
182 796 690
460 270 40
691 672 297
776 257 889
924 337 232
930 838 974
42 843 179
244 1000 424
593 733 859
198 335 815
571 161 949
748 27 438
942 841 428
51 82 685
845 257 409
70 879 429
191 214 970
470 909 882
709 661 332
521 904 87
596 570 554
348 614 450
804 447 270
734 349 381
844 507 964
71 981 191
712 680 308
867 585 222
629 965 750
491 398 192
45 35 236
133 951 565
628 1 729
106 983 789
163 881 92
657 259 736
720 319 152
539 285 474
576 343 830
6 778 76
433 142 301
647 788 345
806 933 983
237 244 56
190 242 133
413 965 846
551 49 674
500 408 200
287 45 270
502 997 365
903 740 368
631 232 899
47 1 791
555 634 639
866 3 435
809 991 983
254 965 673
165 632 878
919 912 442
762 79 435
37 430 932
14 557 868
477 602 782
985 278 213
810 329 356
711 768 771
388 659 101
237 307 774
110 783 749
66 697 449
182 481 135
70 69 651
700 936 219
161 36 674
863 448 399
601 92 86
740 666 606
647 7 595
370 702 131
100 195 269
112 108 845
573 213 252
509 855 854
319 957 513
278 935 234
240 179 622
223 98 405
820 160 369
351 853 166
834 459 510
944 883 104
841 879 944
926 900 78
37 966 377
961 499 555
724 851 253
508 972 214
776 559 281
253 238 638
685 475 657
819 184 379
179 516 927
399 731 200
491 299 831
97 419 582
253 352 489
22 905 634
864 74 519
191 195 719
873 958 486
222 496 979
78 584 412
1 58 71
829 168 528
847 319 127
847 487 512
648 170 59
59 392 689
101 192 855
813 54 216
38 963 676
946 259 824
104 22 873
501 457 773
637 561 129
17 882 612
933 796 132
795 267 946
759 667 290
160 886 880
21 315 940
579 615 27
341 335 720
557 91 380
740 11 203
72 760 613
751 419 661
119 642 104
331 306 391
30 495 779
961 276 75
559 954 160
539 355 693
311 635 38
789 627 586
584 549 810
258 809 925
697 333 915
914 37 312
848 509 378
393 720 18
898 413 122
391 983 574
105 983 714
112 769 907
556 599 721
288 104 783
513 872 521
670 247 292
292 910 506
716 583 190
380 842 693
735 178 386
994 471 52
21 777 745
934 281 551
674 429 97
411 244 297
249 530 860
448 935 230
940 574 955
245 58 639
816 179 342
942 713 720
495 404 124
755 461 545
558 308 822
819 538 547
398 20 62
726 559 200
486 573 659
519 858 795
407 993 277
328 55 293
222 388 21
886 32 395
610 926 731
415 184 519
211 823 758
167 84 921
604 841 516
326 778 436
383 432 892
951 586 309
607 865 155
222 98 516
84 110 5
905 67 789
790 649 813
819 510 98
125 861 95
735 775 489
535 590 121
44 211 204
629 1 294
842 961 34
319 166 15
375 566 106
364 153 133
215 283 527
562 505 312
277 945 571
86 322 354
827 954 112
113 388 78
578 16 423
766 937 773
225 308 478
848 972 653
208 531 632
794 542 561
97 8 659
952 448 817
141 470 250
991 797 5
700 918 47
937 835 857
794 671 30
984 79 452
805 825 875
716 960 371
285 199 841
427 176 963
402 881 633
738 241 187
52 676 481
196 556 684
844 337 255
845 357 644
94 765 522
240 660 279
549 593 500
17 211 790
579 269 786
440 735 393
38 769 460
424 90 198
859 391 848
990 747 537
866 728 653
755 966 311
836 934 653
135 90 385
900 287 994
517 183 902
658 320 529
982 118 82
375 323 38
817 784 659
296 488 989
509 326 233
6 492 999
223 289 954
184 839 521
197 145 937
542 573 727
338 207 482
88 812 208
448 881 730
305 36 264
197 946 997
670 874 657
460 306 113
508 683 310
70 111 152
93 459 575
434 75 743
378 387 527
190 728 290
51 926 722
947 780 240
340 972 616
248 311 887
129 920 863
10 914 602
616 248 899
381 1000 518
56 124 100
593 332 667
949 123 111
490 849 97
910 719 482
823 565 6
218 135 101
770 419 207
627 419 593
553 965 15
490 434 588
569 545 59
757 204 398
778 23 6
761 552 45
952 729 810
397 314 863
993 981 608
647 450 393
56 314 702
280 689 701
946 258 444
101 431 2
924 263 736
72 879 682
759 270 194
807 88 687
257 268 372
612 245 708
911 343 859
473 801 189
721 959 518
166 937 641
423 334 388
213 638 459
856 248 478
188 442 163
199 536 651
316 572 444
525 788 231
50 757 173
264 639 239
603 778 330
884 607 69
382 199 943
820 137 346
32 550 81
419 41 78
180 827 535
589 527 265
308 331 393
282 171 108
538 42 519
712 613 714
612 921 176
544 504 575
178 822 990
359 701 664
844 837 168
808 738 555
392 738 122
520 285 433
395 930 389
791 413 730
683 942 549
861 655 3
641 654 310
222 323 461
433 284 735
251 255 389
253 683 403
845 952 842
102 997 748
269 340 968
978 607 249
488 325 824
147 87 148
350 390 758
86 200 547
62 313 37
922 207 176
811 468 242
813 637 273
967 830 912
560 658 617
560 898 125
980 841 537
249 320 447
615 573 508
379 736 767
584 423 16
148 557 16
724 25 842
600 92 653
21 252 497
982 595 275
435 475 537
53 877 384
793 379 993
308 813 668
555 140 215
364 17 831
557 277 847
681 159 247
78 920 905
951 10 586
506 826 887
428 627 122
476 442 144
446 68 203
729 515 210
331 624 797
764 231 17
327 540 364
525 422 602
64 975 128
147 518 389
66 666 531
199 634 708
108 512 162
478 461 473
852 784 219
681 765 630
642 246 285
326 454 310
980 667 204
973 284 844
767 534 713
425 316 627
188 809 877
295 682 422
280 782 504
761 72 394
505 789 288
920 932 141
868 484 671
599 551 321
566 144 566
596 67 846
235 740 198
880 792 27
197 592 483
535 418 501
693 70 297
892 626 6
87 565 532
612 291 750
311 664 711
258 764 294
621 329 904
110 972 968
739 776 329
696 593 898
655 81 132
75 623 155
967 157 535
578 227 558
364 194 83
622 577 277
217 951 607
370 638 457
699 997 613
740 746 471
288 188 863
135 592 911
233 286 854
465 878 270
805 557 924
97 398 266
907 466 858
948 531 415
675 256 387
524 161 413
77 984 479
465 580 18
508 151 79
778 995 10
67 209 595
902 204 346
478 121 259
726 940 37
96 243 182
960 238 284
901 432 458
479 473 472
460 186 634
190 924 150
250 91 941
762 311 257
243 625 242
687 389 603
715 805 276
884 795 169
730 120 664
720 764 301
732 942 279
271 37 30
956 950 947
681 462 777
670 353 743
402 5 148
94 49 288
129 787 626
998 6 768
582 597 271
367 516 183
583 936 311
88 505 641
742 345 740
476 977 472
515 219 870
5 674 830
655 76 25
842 319 511
36 609 558
618 751 612
514 685 251
676 453 477
740 948 351
858 680 647
718 65 367
150 320 712
416 175 421
270 809 624
528 985 507
626 114 262
813 118 174
251 325 634
15 670 766
275 396 829
888 297 232
101 905 751
988 228 669
56 758 606
924 826 151
994 423 85
488 308 248
698 636 362
858 766 493
209 916 598
281 70 437
329 235 12
716 744 443
107 253 751
174 437 348
274 459 66
256 610 684
209 360 891
123 214 720
182 346 326
387 70 235
82 459 814
743 304 658
200 126 585
426 213 734
489 282 305
939 335 807
475 300 638
376 936 240
221 817 372
648 310 236
665 227 594
388 925 501
2 137 919
943 262 332
224 303 767
234 891 463
198 674 54
664 634 553
783 701 269
921 151 528
32 478 377
305 456 56
2 56 776
79 319 128
911 76 834
500 398 180
798 864 987
404 14 218
768 575 953
158 354 81
582 749 691
276 129 204
810 152 12
838 134 397
927 59 598
497 184 574
827 129 586
347 739 715
920 758 925
40 768 843
272 93 785
66 204 16
653 608 415
195 591 462
40 684 853
518 862 802
677 800 735
72 705 759
634 395 308
792 622 301
202 326 136
272 155 263
711 67 343
65 506 0
177 644 854
697 386 728
923 934 659
753 722 359
561 825 219
698 599 390
280 652 370
308 584 383
214 476 943
1 465 753
177 349 403
377 324 660
333 149 569
66 135 290
25 223 662
267 457 324
682 976 943
490 939 488
712 275 317
784 915 701
735 801 133
48 459 648
710 998 233
3 90 863
552 879 72
403 684 923
565 799 975
319 368 399
586 437 596
712 450 420
563 229 732
446 401 541
838 812 266
882 379 790
797 46 64
15 300 276
145 492 312
652 233 759
862 105 957
715 675 23
886 479 88
500 554 244
96 860 811
423 524 558
557 608 876
128 138 0
495 261 655
302 966 579
677 584 141
863 273 195
451 419 213
500 156 850
852 796 373
567 598 448
101 371 421
885 507 210
292 300 942
572 327 585
148 490 235
639 25 282
888 532 881
404 559 853
851 435 723
889 10 740
585 224 652
512 185 947
932 788 916
380 552 93
676 92 867
925 758 616
315 552 914
699 842 598
423 388 407
946 449 375
219 343 548
349 316 983
574 126 485
939 864 969
954 412 644
626 911 935
758 3 176
27 116 664
287 629 78
821 841 328
975 144 9
70 825 543
586 185 580
330 784 777
830 105 317
750 217 892
124 405 321
568 106 484
488 103 892
546 169 31
612 448 270
450 951 783
424 964 549
416 754 175
319 303 970
780 497 468
668 507 505
30 758 379
831 472 797
995 435 978
29 255 561
953 667 379
269 374 948
153 248 345
636 373 33
926 246 104
246 322 103
438 486 384
577 770 342
811 543 94
295 110 838
963 709 817
556 337 441
265 492 789
447 977 648
393 328 523
37 962 641
226 410 862
265 621 656
314 797 188
562 823 229
693 347 724
685 558 91
258 413 793
290 756 49
892 642 981
865 430 872
535 184 658
458 865 838
190 255 816
912 835 266
186 330 315
880 55 427
223 429 208
1000 454 697
429 86 853
926 258 50
413 33 32
977 965 549
566 809 413
603 934 981
283 12 696
580 18 384
572 86 52
570 636 427
633 738 966
685 630 389
455 524 303
204 248 422
572 238 291
125 194 616
124 667 170
945 478 243
127 320 214
116 715 310
367 38 631
607 529 778
293 867 66
130 749 851
283 118 806
292 996 967
966 953 793
999 339 356
10 6 542
891 70 628
285 764 735
26 383 579
644 41 575
542 682 24
770 583 659
602 161 0
453 268 199
230 291 616
346 553 830
518 540 62
555 957 152
91 19 822
53 763 685
232 935 308
222 243 215
630 847 304
233 964 244
756 541 937
225 120 585
388 261 867
206 68 396
413 39 483
307 821 927
265 449 351
95 448 591
978 851 234
887 317 530
341 225 803
594 608 98
528 925 641
581 4 182
719 649 576
943 386 361
51 184 973
884 310 159
115 400 863
203 244 807
656 464 669
950 894 192
307 713 442
681 24 345
898 505 459
60 31 290
826 307 125
651 64 45
119 626 728
784 57 708
120 747 644
6 198 77
773 353 933
416 940 289
655 725 422
141 722 209
53 277 12
571 491 808
398 213 938
221 84 7
141 149 137
197 438 38
165 313 288
257 593 391
820 936 782
774 140 210
642 114 18
199 90 987
305 604 871
424 144 239
107 411 604
483 610 572
83 384 450
609 204 767
265 99 319
572 232 746
244 964 385
416 402 410
424 659 965
591 888 884
999 583 630
119 736 771
181 722 127
42 425 256
343 9 700
224 348 532
136 289 383
120 29 258
864 118 582
267 170 882
696 372 565
450 836 561
364 757 818
297 845 32
937 523 399
897 4 320
62 802 812
329 328 334
91 666 337
501 444 947
767 330 173
419 679 777
581 582 117
818 110 713
503 753 34
589 177 186
495 552 111
232 125 427
71 684 907
560 253 616
158 233 765
386 305 387
476 928 996
648 421 330
687 120 117
145 573 662
392 75 154
556 930 255
574 104 782
857 71 661
642 952 449
131 567 810
536 198 547
173 762 984
96 14 510
824 106 456
303 74 716
503 648 301
874 219 248
752 407 909
374 716 766
675 171 824
114 197 283
562 255 694
141 921 510
493 277 468
633 558 136
481 374 477
234 679 589
938 504 728
415 185 53
242 520 603
664 968 700
447 350 199
285 727 345
150 419 180
738 234 89
26 410 78
4 99 225
718 924 869
104 499 458
397 623 485
584 932 15
148 907 613
976 71 467
316 826 738
335 648 85
202 555 726
379 507 411
669 992 790
469 630 856
772 577 865
984 989 35
680 283 592
62 846 44
675 544 471
487 379 233
279 215 794
193 268 739
717 606 872
23 239 954
700 43 429
347 321 203
360 655 223
525 952 556
62 258 385
407 718 987
810 950 802
397 234 549
466 101 562
835 390 274
596 365 731
631 417 151
960 768 356
566 559 697
460 745 262
980 540 508
464 274 467
366 880 688
37 110 550
376 981 264
234 903 449
391 484 924
140 992 230
832 952 178
761 768 757
480 369 908
693 445 489
331 477 293
367 163 284
657 511 547
198 153 99
929 200 567
6 196 771
331 949 506
121 73 198
947 243 539
89 947 926
498 965 662
838 439 880
218 312 811
996 917 151
885 751 521
584 729 83
220 912 64
630 413 282
372 8 599
72 774 589
881 740 679
946 761 781
630 94 766
152 693 345
374 423 492
152 946 454
731 593 529
47 677 541
571 794 563
780 855 382
935 328 484
715 613 506
923 101 370
79 90 42
887 339 440
579 756 307
916 452 919
661 982 301
26 367 452
927 199 627
862 65 447
295 923 218
492 326 849
843 549 411
229 836 556
995 175 579
409 818 368
322 454 954
276 39 747
647 833 983
465 201 45
19 345 712
501 554 58
529 65 604
123 431 500
673 808 968
399 576 672
247 365 173
727 331 64
775 26 905
261 213 295
727 449 992
140 399 108
762 29 492
248 956 233
791 840 162
506 849 65
448 832 631
580 563 205
185 1 649
529 211 940
848 734 1
545 105 531
462 234 500
450 84 364
180 146 730
950 569 973
770 929 681
977 551 95
638 314 250
479 816 540
532 636 458
170 963 241
391 722 487
552 883 342
450 974 106
811 891 175
516 460 339
518 117 157
893 210 240
26 863 538
970 630 428
250 760 891
704 124 201
688 971 999
452 804 262
785 97 573
824 213 802
828 767 630
82 47 223
802 81 789
263 31 134
988 983 576
636 501 314
671 842 868
393 706 390
473 27 478
768 10 63
415 335 414
634 408 816
439 985 233
56 504 415
223 81 907
555 938 711
329 608 76
756 71 77
472 525 854
596 716 495
940 328 239
728 417 121
915 974 811
167 467 35
761 10 221
495 801 943
183 932 595
298 715 547
220 803 237
157 941 468
552 953 954
903 565 954
61 8 18
869 503 650
188 453 716
905 932 412
127 518 801
639 580 777
842 55 517
393 34 917
494 134 179
260 545 946
484 102 649
308 914 903
171 517 857
404 967 159
146 92 305
308 875 539
36 996 214
938 291 611
914 214 140
329 34 132
153 631 355
467 680 518
596 462 622
972 175 259
360 696 442
940 273 297
160 360 777
871 896 726
520 783 419
399 198 324
940 935 498
717 349 41
842 560 692
116 509 124
544 674 11
837 99 398
121 552 614
443 582 254
848 846 56
642 735 198
742 835 563
742 709 585
920 432 365
330 162 275
986 739 399
569 716 736
921 651 479
422 305 261
699 604 339
194 740 957
846 16 63
959 867 26
396 506 129
602 319 506
247 229 860
918 441 877
116 992 144
539 184 833
333 393 593
645 612 634
401 730 178
859 959 208
807 799 46
669 755 255
516 695 238
310 843 424
770 952 139
845 145 549
309 435 192
786 328 975
184 24 731
63 680 240
697 82 229
171 771 352
760 647 192
265 535 931
822 521 864
994 513 696
111 245 122
419 736 592
474 503 401
221 645 766
969 930 753
404 658 412
193 161 317
94 330 38
814 478 348
281 826 466
588 702 860
688 435 574
39 662 428
948 733 642
710 650 809
361 863 444
711 651 817
288 657 476
54 570 426
292 205 178
859 884 555
881 451 881
885 599 716
349 448 709
826 648 62
864 643 16
339 933 509
826 419 34
439 77 805
799 237 339
871 736 381
270 390 648
102 705 977
856 759 253
875 973 790
571 918 183
564 503 561
584 45 482
353 841 49
727 889 125
359 755 355
960 605 110
445 885 856
276 587 155
561 549 233
80 820 735
648 27 33
610 726 780
444 626 519
189 85 355
79 855 936
185 340 126
52 340 230
237 559 135
730 426 445
313 471 65
981 681 528
953 93 643
946 523 57
493 320 534
367 58 44
19 763 517
119 470 684
878 950 761
766 710 788
937 631 715
970 491 323
225 555 13
286 445 184
878 462 655
126 344 842
886 826 637
938 493 780
88 323 919
460 744 251
189 146 330
908 466 168
805 419 438
289 996 592
640 552 743
204 170 233
929 238 279
123 209 764
534 107 538
28 350 897
605 387 552
604 386 258
121 214 690
85 308 561
631 907 530
583 40 222
236 389 424
682 565 934
900 616 745
521 784 25
32 356 539
267 11 351
333 48 140
66 766 969
776 342 511
486 470 342
231 390 502
140 600 600
659 621 215
473 440 886
423 332 413
219 517 716
193 222 170
75 695 324
653 322 450
391 86 567
697 303 555
643 819 833
382 634 834
254 436 384
361 788 821
641 296 814
280 783 699
533 524 819
463 462 55
525 516 417
801 611 570
344 336 980
303 837 395
101 788 544
153 1 292
904 207 402
958 955 635
